Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
180,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-101,1999,12,4,348,3.9,0,0,0,0,0,0,0.77,0,0.31,0.31,0.05,0.36,1.79,3.85,3.85,0,0,0,0,0,0.32,0.05,0.37,0.32,0.37,Matches
181,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-303,1996,9,8,698,7.8,0.13,0.13,0.26,0.13,0,0,0,0,0.38,0.38,0.12,0.49,0.51,0.9,2.95,0.13,0.13,0.26,0.13,0.26,0.38,0.11,0.5,0.38,0.5,Matches
182,Gustavo Nunes,br BRA,"MF,FW",Brentford,19-152,2005,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
183,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-237,1997,29,25,"2,167",24.1,0.17,0,0.17,0.08,0.08,0.08,0.33,0,0.22,0.15,0.12,0.27,0.83,5.35,3.36,0.17,0,0.17,0.08,0.08,0.21,0.13,0.34,0.15,0.27,Matches
184,Daniel Podence,pt POR,"MF,FW",Wolves,29-182,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
185,Georginio Rutter,fr FRA,"MF,FW",Brighton,23-001,2002,28,19,"1,656",18.4,0.27,0.16,0.43,0.27,0,0,0.11,0,0.25,0.25,0.14,0.39,2.28,3.64,4.29,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches
186,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-345,1992,19,6,676,7.5,0.4,0.27,0.67,0.4,0,0,0.4,0,0.37,0.37,0.21,0.59,1.6,6.27,6.53,0.4,0.27,0.67,0.4,0.67,0.37,0.22,0.59,0.37,0.59,Matches
187,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27-055,1998,33,26,"2,364",26.3,0.27,0.15,0.42,0.27,0,0,0.15,0,0.32,0.32,0.26,0.57,2.4,2.89,6.08,0.27,0.15,0.42,0.27,0.42,0.31,0.26,0.58,0.31,0.58,Matches
188,Bernardo Silva,pt POR,"MF,FW",Manchester City,30-254,1994,28,24,"2,221",24.7,0.08,0.16,0.24,0.08,0,0,0.24,0,0.12,0.12,0.17,0.29,3.56,4.25,7.25,0.08,0.16,0.24,0.08,0.24,0.12,0.17,0.29,0.12,0.29,Matches
189,Carlos Soler,es ESP,"MF,FW",West Ham,28-109,1997,28,14,"1,347",15,0.07,0.07,0.13,0.07,0,0,0.33,0,0.11,0.11,0.08,0.19,1.07,3.47,2.2,0.07,0.07,0.13,0.07,0.13,0.11,0.08,0.19,0.11,0.19,Matches
190,Willian,br BRA,"MF,FW",Fulham,36-255,1988,7,1,161,1.8,0,0,0,0,0,0,0,0,0.06,0.06,0.11,0.22,2.78,15,9.44,0,0,0,0,0,0.07,0.13,0.2,0.07,0.2,Matches
191,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-244,1999,28,9,887,9.9,0,0.2,0.2,0,0,0,0.2,0,0.12,0.12,0.16,0.29,3.13,3.43,6.87,0,0.2,0.2,0,0.2,0.12,0.17,0.29,0.12,0.29,Matches
192,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-277,2006,2,0,28,0.3,0,0,0,0,0,0,3.33,0,0,0,0.33,0.33,3.33,0,10,0,0,0,0,0,0.07,0.22,0.29,0.07,0.29,Matches
193,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-149,1994,18,12,926,10.3,0,0.1,0.1,0,0,0,0.1,0,0.05,0.05,0.16,0.21,3.69,0.78,6.31,0,0.1,0.1,0,0.1,0.05,0.16,0.21,0.05,0.21,Matches
194,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-056,1994,8,4,306,3.4,0,0,0,0,0,0,0,0.29,0,0,0.03,0.03,2.94,2.35,5.29,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
195,Mason Holgate,eng ENG,"FW,DF",Everton,28-181,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23-072,2002,10,5,474,5.3,0.38,0,0.38,0.38,0,0,0.19,0,0.38,0.38,0.04,0.42,2.45,1.89,6.79,0.38,0,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42,Matches
197,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24-338,2000,11,4,325,3.6,0.83,0.56,1.39,0.83,0,0,0,0,0.33,0.33,0.17,0.5,2.5,1.11,7.22,0.83,0.55,1.38,0.83,1.38,0.34,0.17,0.51,0.34,0.51,Matches
198,Tyler Adams,us USA,MF,Bournemouth,26-066,1999,23,16,"1,530",17,0,0.18,0.18,0,0,0,0.35,0,0.09,0.09,0.05,0.14,0.71,3.59,0.41,0,0.18,0.18,0,0.18,0.09,0.05,0.14,0.09,0.14,Matches
199,Asher Agbinone,eng ENG,MF,Crystal Palace,19-205,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,10,0,0,0,0,0,0.29,0.5,0.79,0.29,0.79,Matches
200,Carlos Alcaraz,ar ARG,MF,Southampton,22-142,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,1,1,1,2,40,60,10,0,0,0,0,0,0.62,0.86,1.48,0.62,1.48,Matches
